"tag_key","tag_value","language","label"
"NHS","STRAHNET","ca","xarxa de carreteres estratègiques"
"NHS","STRAHNET","en","strategic highway network"
"NHS","STRAHNET","fr","strategic highway network"
"NHS","STRAHNET","sl","strategic highway network"
"access","private","en","private swimming pool"
"access","private","fr","piscine privée"
"access","private","ru","частный бассейн"
"access","private","uk","приватний басейн"
"access","private","ca","carretera privada"
"access","private","cs","účelová komunikace"
"access","private","de","privatstraße"
"access","private","de-ch","privatstrasse"
"access","private","el","ιδιωτική οδός"
"access","private","en","private road"
"access","private","es","calle prividad"
"access","private","fa","جاده اختصاصی"
"access","private","fi","yksityistie"
"access","private","fr","route privée"
"access","private","ja","私道"
"access","private","ko","사도"
"access","private","nb","privat vei"
"access","private","nl","eigen weg"
"access","private","sl","zasebna cesta"
"access","private","sv","enskild väg"
"access","private","zh","私家路"
"access","private","zh-hk","私家路"
"access","public","ca","piscina pública"
"access","public","de","öffentliches schwimmbad"
"access","public","en","public swimming pool"
"access","public","fr","piscine publique"
"access","public","ru","общественный бассейн"
"access","public","zh-tw","公共游泳池"
"activity:dating","yes","ar","المواعدة"
"activity:dating","yes","be","спатканне"
"activity:dating","yes","ca","relació de parella"
"activity:dating","yes","cs","námluvy"
"activity:dating","yes","da","dating"
"activity:dating","yes","en","dating"
"activity:dating","yes","es","noviazgo"
"activity:dating","yes","fa","قرار گذاشتن"
"activity:dating","yes","fi","seurustelu"
"activity:dating","yes","fr","dating"
"activity:dating","yes","he","דייטינג"
"activity:dating","yes","hi","डेटिंग"
"activity:dating","yes","hu","randevúzás"
"activity:dating","yes","id","kencan"
"activity:dating","yes","it","dating"
"activity:dating","yes","ja","デート"
"activity:dating","yes","ko","데이트"
"activity:dating","yes","ms","berpacaran"
"activity:dating","yes","nb","stevnemøte"
"activity:dating","yes","nl","dating"
"activity:dating","yes","pt","namoro"
"activity:dating","yes","ru","поиск партнёра"
"activity:dating","yes","sl","obiskovanje zmenkov"
"activity:dating","yes","sv","dejtning"
"activity:dating","yes","ta","பொருத்தம் பார்த்தல்"
"activity:dating","yes","tr","çıkma"
"activity:dating","yes","uk","період побачень"
"activity:dating","yes","ur","ڈیٹنگ"
"activity:dating","yes","vi","hẹn hò"
"activity:dating","yes","zh","約會"
"activity:dating","yes","zh-hk","約會"
"addr:country","DE","af","duitsland"
"addr:country","DE","ar","ألمانيا"
"addr:country","DE","be","германія"
"addr:country","DE","bg","германия"
"addr:country","DE","ca","alemanya"
"addr:country","DE","cs","německo"
"addr:country","DE","da","tyskland"
"addr:country","DE","de","deutschland"
"addr:country","DE","de-at","deutschland"
"addr:country","DE","de-ch","deutschland"
"addr:country","DE","el","γερμανία"
"addr:country","DE","en","germany"
"addr:country","DE","en-ca","germany"
"addr:country","DE","en-gb","germany"
"addr:country","DE","en-us","germany"
"addr:country","DE","es","alemania"
"addr:country","DE","et","saksamaa"
"addr:country","DE","fa","آلمان"
"addr:country","DE","fi","saksa"
"addr:country","DE","fr","allemagne"
